frame_index,score
0,0.2462311089038849
1,0.23980428278446198
2,0.2336275577545166
3,0.2341199368238449
4,0.24022099375724792
5,0.25071561336517334
6,0.2538638114929199
7,0.2562499940395355
8,0.2583017647266388
9,0.24973317980766296
10,0.24376226961612701
11,0.2467980682849884
12,0.25046506524086
13,0.24907845258712769
14,0.25790053606033325
15,0.25879067182540894
16,0.2540379464626312
17,0.2525121569633484
18,0.2516518533229828
19,0.24619553983211517
20,0.2488679438829422
21,0.23691345751285553
22,0.21715646982192993
23,0.21484576165676117
24,0.21211637556552887
